date,name,type
2013-12-13,Asarah B'Tevet,Jewish holiday
2013-12-13,Friday the 13th,Worldwide observance
2013-12-13,National Guard Birthday,Observance
2013-12-15,Bill of Rights Day,Observance
2013-12-17,Pan American Aviation Day,Observance
2013-12-17,Wright Brothers Day,Observance
2013-12-18,International Migrants Day,United Nations observance
2013-12-18,Arabic Language Day,United Nations observance
2013-12-20,International Human Solidarity Day,United Nations observance
2013-12-21,December Solstice,Season
2013-12-24,Christmas Eve,State holiday
2013-12-24,Christmas Eve,"Observance, Christian"
2013-12-24,Washington's Birthday,State holiday
2013-12-25,Christmas Day,State holiday
2013-12-25,Christmas Day,Federal Holiday
2013-12-26,Kwanzaa (first day),Observance
2013-12-26,Day After Christmas Day,State holiday
2013-12-31,New Year's Eve,Observance
2013-12-31,New Year's Eve,State holiday
2014-01-01,New Year's Day,Federal Holiday
2014-01-04,World Braille Day,Worldwide observance
2014-01-06,Epiphany,Christian
2014-01-07,Orthodox Christmas Day,Orthodox
2014-01-07,International Programmers' Day,Worldwide observance
2014-01-13,Stephen Foster Memorial Day,Observance
2014-01-14,The Prophet's Birthday,Muslim
2014-01-14,Orthodox New Year,Orthodox
2014-01-16,Tu Bishvat/Tu B'Shevat,Jewish holiday
2014-01-17,Lee-Jackson Day,State holiday
2014-01-19,World Religion Day,Worldwide observance
2014-01-19,Robert E. Lee's Birthday,State Legal Holiday
2014-01-19,Confederate Heroes' Day,State holiday
2014-01-20,Martin Luther King Jr. Day,Federal Holiday
2014-01-20,Robert E. Lee's Birthday,State holiday
2014-01-20,Idaho Human Rights Day,State holiday
2014-01-20,Civil Rights Day,State holiday
2014-01-26,International Customs Day,Worldwide observance
2014-01-26,World Leprosy Day,Worldwide observance
2014-01-27,International Day of Commemoration in Memory of the Victims of the Holocaust,United Nations observance
2014-01-29,Kansas Day,State Observation
2014-01-31,Lunar New Year,Observance
2014-02-01,National Freedom Day,Observance
2014-02-01,First Day of Black History Month,Annual monthly observance
2014-02-02,World Wetlands Day,Worldwide observance
2014-02-02,Groundhog Day,Observance
2014-02-02,Super Bowl,Sporting event
2014-02-04,World Cancer Day,Worldwide observance
2014-02-04,Rosa Parks Day,State Observation
2014-02-04,Rosa Parks Day,Local observance
2014-02-06,International Day of Zero Tolerance for Female Genital Mutilation,United Nations observance
2014-02-06,Ronald Reagan Day,State Observation
2014-02-07,National Wear Red Day,Observance
2014-02-11,World Day of the Sick,Worldwide observance
2014-02-12,Lincoln's Birthday,State holiday
2014-02-12,Lincoln's Birthday,State Legal Holiday
2014-02-12,Georgia Day,State Observation
2014-02-13,World Radio Day,United Nations observance
